application_id,Interview taken on (date) ,Interview taken on (time),Status,Gender,Department,Post Name,Offered Salary,Salary Range,
12073,15-08-2014,11:38:10,Rejected,Male,Production Department,c5,9711,0 - 20000,
12277,16-08-2014,06:55:08,Hired,Other's,Service Department,i7,22823,20001 - 40000,
12289,13-06-2014,09:31:30,Rejected,Male,Service Department,i5,14479,0 - 20000,
12307,23-05-2014,09:35:55,Hired,Female,Operations Department,i5,22051,20001 - 40000,
12320,02-06-2014,13:10:00,Rejected,Male,Production Department,c8,56727,40001 - 80000,
12430,28-08-2014,18:40:20,Hired,Male,Sales Department,b9,65673,40001 - 80000,
12713,04-06-2014,11:08:59,Hired,Male,Service Department,b9,21029,20001 - 40000,
12882,22-05-2014,08:23:25,Hired,Male,Service Department,i5,6138,0 - 20000,
12887,29-06-2014,17:47:14,Hired,Male,Human Resource Department,i6,13201,0 - 20000,
12977,18-08-2014,01:12:38,Hired,Male,Sales Department,i7,72809,40001 - 80000,
13205,08-07-2014,18:08:10,Hired,Female,Finance Department,i5,62098,40001 - 80000,
13367,20-05-2014,18:34:25,Rejected,Female,Operations Department,c9,88965,80001 - 100000,
13485,22-07-2014,09:32:34,Hired,Male,Sales Department,c9,91643,80001 - 100000,
13735,27-06-2014,07:37:13,Hired,Female,Service Department,c5,63025,40001 - 80000,
13742,28-05-2014,01:42:08,Hired,Male,Production Department,c10,40601,40001 - 80000,
13981,02-08-2014,16:21:11,Hired,Female,Operations Department,c9,37155,20001 - 40000,
14220,14-07-2014,16:43:12,Hired,Male,Service Department,i6,77286,40001 - 80000,
14294,05-08-2014,09:37:48,Hired,Female,Sales Department,c9,6652,0 - 20000,
14313,18-06-2014,10:30:52,Rejected,Male,Operations Department,i5,9609,0 - 20000,
14318,21-08-2014,09:31:28,Hired,Male,Sales Department,i7,11330,0 - 20000,
14362,06-08-2014,21:29:57,Hired,Male,Operations Department,b9,59295,40001 - 80000,
14621,01-08-2014,17:57:05,Hired,Male,Operations Department,c5,3445,0 - 20000,
14857,07-08-2014,09:35:45,Rejected,Female,Service Department,i7,75557,40001 - 80000,
15315,22-08-2014,16:07:05,Rejected,Female,Finance Department,i5,19960,0 - 20000,
15328,18-06-2014,11:15:03,Hired,Female,Operations Department,c9,25541,20001 - 40000,
15580,29-05-2014,13:34:42,Hired,Female,Finance Department,c9,22689,20001 - 40000,
15712,03-05-2014,00:36:50,Rejected,Male,Sales Department,i6,11970,0 - 20000,
16043,27-08-2014,08:18:29,Rejected,Male,Operations Department,c5,53579,40001 - 80000,
16116,30-07-2014,15:50:56,Hired,Other's,Finance Department,c9,38247,20001 - 40000,
16121,17-08-2014,13:00:27,Rejected,Male,Service Department,c5,38245,20001 - 40000,
16272,24-06-2014,19:44:58,Rejected,Male,Service Department,i6,34899,20001 - 40000,
16292,04-07-2014,09:29:40,Hired,Female,Sales Department,c9,14642,0 - 20000,
16456,28-08-2014,09:32:38,Hired,Male,Sales Department,c9,11869,0 - 20000,
16491,25-06-2014,15:32:35,Hired,Male,Operations Department,c5,35734,20001 - 40000,
16798,01-07-2014,07:18:59,Hired,Female,Service Department,c8,69332,40001 - 80000,
16811,24-06-2014,20:35:15,Hired,Female,Operations Department,c9,19117,0 - 20000,
17030,14-05-2014,13:32:23,Rejected,Female,Service Department,c8,21244,20001 - 40000,
17272,28-07-2014,08:18:29,Hired,Female,Operations Department,c5,16771,0 - 20000,
17377,26-08-2014,16:08:14,Hired,Female,Operations Department,c5,22684,20001 - 40000,
17431,11-07-2014,04:33:10,Hired,Other's,Operations Department,c8,10105,0 - 20000,
17432,20-05-2014,15:35:55,Hired,Female,Service Department,c5,92225,80001 - 100000,
17527,24-07-2014,18:28:01,Rejected,Male,Sales Department,i6,60079,40001 - 80000,
17608,18-06-2014,12:12:25,Rejected,Male,Operations Department,c9,22580,20001 - 40000,
17674,20-06-2014,10:32:00,Hired,Female,Operations Department,c5,57295,40001 - 80000,
17705,14-08-2014,09:31:58,Rejected,Other's,Human Resource Department,i5,65270,40001 - 80000,
17800,13-08-2014,14:43:13,Rejected,Female,General Management,i7,40121,40001 - 80000,
17946,01-05-2014,19:12:19,Rejected,Male,Service Department,c5,71106,40001 - 80000,
18213,16-07-2014,16:20:34,Hired,Female,Finance Department,c9,51426,40001 - 80000,
18227,25-08-2014,11:54:02,Rejected,Female,General Management,c9,7654,0 - 20000,
18538,27-08-2014,09:33:25,Hired,Male,Sales Department,i7,69102,40001 - 80000,
18596,26-06-2014,00:39:52,Rejected,Female,Operations Department,c5,91894,80001 - 100000,
18701,20-06-2014,18:35:23,Hired,Male,Operations Department,c5,79234,40001 - 80000,
18728,21-06-2014,12:22:27,Hired,Male,Operations Department,i6,75782,40001 - 80000,
18776,19-06-2014,17:44:44,Rejected,Male,Purchase Department,i1,62050,40001 - 80000,
18808,10-07-2014,15:53:40,Hired,Male,Service Department,c5,54711,40001 - 80000,
19370,16-05-2014,09:57:39,Rejected,Female,Service Department,i4,62082,40001 - 80000,
